app_name,reviewId,userName,content,score,at,clean_text,polarity,subjectivity,sentiment,watch_hours,sessions_per_week,subscription_age_months,sentiment_score,churn,predicted_churn_log,predicted_churn_rf
Netflix,cb4e0746-f12b-482c-9440-8f0e6417e240,Sa'adatu Bashir,Am sure Netflix is a very good app,5,03-11-2025 10:32,sure netflix good app,0.6,0.7444444444444445,Positive,2,4,2,0.6,1,1,1
Netflix,d4b951db-3286-41a6-bd2c-7ee50abb2478,Entle Sonjica,great no ads,5,03-11-2025 10:19,great ad,0.8,0.75,Positive,8,7,21,0.8,1,0,0
Netflix,6dca3694-f14d-4475-b8a9-6aeb8be22ae0,Dim Sum,"Nothing worth watching,waste of money",1,03-11-2025 10:03,nothing worth watchingwaste money,0.3,0.1,Positive,16,6,16,0.3,0,1,0
Netflix,f6b1d27e-d127-40ef-9687-135baf75f3db,GUPS DABALI,best,5,03-11-2025 09:46,best,1.0,0.3,Positive,21,1,15,1.0,0,0,0
Netflix,f27a1437-f6e2-4bcc-a6b9-4832cc7dea4b,genaro carden,love it,5,03-11-2025 09:42,love,0.5,0.6,Positive,22,3,21,0.5,0,1,0
Netflix,fdc816c8-2d31-4a6d-a3ec-912b1112bb81,Rohan Tiwari,"I had an issue related to video quality of the app but the representative didn't even bother to tell me her name and told me to contact my ISP, I mean what, every other thing is working just fine; all the other OTT apps on my phone and everybody's phone in my house, I'm the only one who used Netflix, now I've uninstall it obviously and ended the subscription. Tell your customer care people to give their names to people so people can address them. And fix bugs in your app, instead of blaming ISP.",1,03-11-2025 09:39,issue related video quality app representative didnt even bother tell name told contact isp mean every thing working fine ott apps phone everybodys phone house im one used netflix ive uninstall obviously ended subscription tell customer care people give name people people address fix bug app instead blaming isp,0.02604166666666667,0.521875,Neutral,16,2,12,0.02604166666666667,0,0,0
Netflix,4707f655-28ed-4112-b33a-7e36093aa4cc,El Dio,"It's annoying that I cannot watch continuously without having to reset my phonebecause of the ""5.10"" error, very inconvenient.",2,03-11-2025 09:36,annoying cannot watch continuously without reset phonebecause error inconvenient,-0.7,0.95,Negative,46,6,4,-0.7,1,1,1
Netflix,ace36080-7f50-4da5-8b50-5d46f7b0aeac,Malefu Cindi,can't share movies,3,03-11-2025 09:26,cant share movie,0.0,0.0,Neutral,43,7,21,0.0,0,1,1
Netflix,b8fca042-fd79-418a-b7a9-c0b173266f49,N,"OCT 2025's update: Doesn't even allow users to open Netflix, wont go past the splashscreen. AUG 2025 update: No longer enables control over literal video RESOLUTION I'm for sure canceling if this doesn't get fixed",1,03-11-2025 09:20,oct update doesnt even allow user open netflix wont go past splashscreen aug update longer enables control literal video resolution im sure canceling doesnt get fixed,0.0875,0.4597222222222222,Positive,34,8,5,0.0875,0,1,1
Netflix,1b4b3269-0af3-4638-b32d-c04ed02077bd,Eli Aaron,best app I love Netflix it is cheap,5,03-11-2025 09:17,best app love netflix cheap,0.6333333333333333,0.5333333333333333,Positive,1,4,2,0.6333333333333333,1,0,1
Netflix,d6aaca79-65d5-4ab2-908e-f8efbd1988ca,Sara Costa,"Sinceramente, é uma falta de respeito com os assinantes. A gente paga todo mês, e ainda assim precisa lidar com essa enrolação de ter que pagar mais pra assistir certas séries e filmes? Bloquear conteúdos pra quem tem o plano com anúncios é absurdo! O mínimo seria oferecer igualdade de acesso, já que todos estão pagando. Decepcionante ver uma empresa desse porte tratar os assinantes dessa forma.",2,03-11-2025 09:00,sinceramente uma falta de respeito com assinantes gente paga todo e ainda assim precisa lidar com essa enrolao de ter que pagar mais pra assistir certas sries e filmes bloquear contedos pra quem tem plano com anncios absurdo mnimo seria oferecer igualdade de acesso j que todos esto pagando decepcionante ver uma empresa desse porte tratar assinantes dessa forma,0.0,0.0,Neutral,14,7,10,0.0,0,0,1
