date,username,text
2024-10-10,user_0,"Too many ads on SonyLIV, please fix."
2024-02-17,user_1,Buffering issues on Prime Video all the time.
2024-08-03,user_2,"Too many ads on Prime Video, please fix."
2024-01-05,user_3,The streaming on Hotstar is so smooth!
2024-10-06,user_4,Loved the new series on Netflix!
2024-04-12,user_5,Loved the new series on Hotstar!
2024-05-09,user_6,Hotstar has the best collection of shows.
2024-05-24,user_7,"Too many ads on Netflix, please fix."
2024-05-11,user_8,Loved the new series on SonyLIV!
2024-07-29,user_9,I might unsubscribe from Prime Video soon.
2024-01-06,user_10,Prime Video has the best collection of shows.
2024-03-30,user_11,The streaming on Netflix is so smooth!
2024-10-02,user_12,The streaming on Netflix is so smooth!
2024-03-14,user_13,Netflix app keeps crashing lately.
2024-09-18,user_14,The streaming on Prime Video is so smooth!
2024-03-20,user_15,Buffering issues on Netflix all the time.
2024-06-03,user_16,SonyLIV subscription cost is too high!
2024-07-11,user_17,Prime Video has the best collection of shows.
2024-04-24,user_18,SonyLIV has the best collection of shows.
2024-02-20,user_19,Prime Video subscription cost is too high!
2024-02-23,user_20,Buffering issues on Hotstar all the time.
2024-01-25,user_21,Hotstar app keeps crashing lately.
2024-06-29,user_22,I might unsubscribe from Netflix soon.
2024-09-05,user_23,"Too many ads on SonyLIV, please fix."
2024-05-12,user_24,The streaming on Prime Video is so smooth!
2024-07-17,user_25,Loved the new series on Netflix!
2024-09-16,user_26,"Too many ads on Prime Video, please fix."
2024-07-30,user_27,Hotstar app keeps crashing lately.
2024-01-09,user_28,SonyLIV has the best collection of shows.
2024-05-07,user_29,Hotstar has the best collection of shows.
2024-07-21,user_30,Loved the new series on Prime Video!
2024-02-29,user_31,Hotstar subscription cost is too high!
2024-09-12,user_32,SonyLIV subscription cost is too high!
2024-09-06,user_33,The streaming on Prime Video is so smooth!
2024-08-26,user_34,Loved the new series on Prime Video!
2024-03-30,user_35,The streaming on Prime Video is so smooth!
2024-03-22,user_36,"Too many ads on Netflix, please fix."
2024-01-21,user_37,I might unsubscribe from Prime Video soon.
2024-07-26,user_38,Buffering issues on Netflix all the time.
2024-02-05,user_39,I might unsubscribe from Hotstar soon.
2024-05-25,user_40,Hotstar subscription cost is too high!
2024-02-05,user_41,I might unsubscribe from Netflix soon.
2024-09-13,user_42,I might unsubscribe from SonyLIV soon.
2024-02-02,user_43,Buffering issues on SonyLIV all the time.
2024-08-05,user_44,Hotstar subscription cost is too high!
