date,username,text,clean_text,polarity,subjectivity,sentiment,date_num,date_only
2024-10-10,user_0,"Too many ads on SonyLIV, please fix.",many ad sonyliv please fix,0.5,0.5,Positive,739169,2024-10-10
2024-02-17,user_1,Buffering issues on Prime Video all the time.,buffering issue prime video time,0.0,0.0,Neutral,738933,2024-02-17
2024-08-03,user_2,"Too many ads on Prime Video, please fix.",many ad prime video please fix,0.5,0.5,Positive,739101,2024-08-03
2024-01-05,user_3,The streaming on Hotstar is so smooth!,streaming hotstar smooth,0.4,0.5,Positive,738890,2024-01-05
2024-10-06,user_4,Loved the new series on Netflix!,loved new series netflix,0.41818181818181815,0.6272727272727273,Positive,739165,2024-10-06
2024-04-12,user_5,Loved the new series on Hotstar!,loved new series hotstar,0.41818181818181815,0.6272727272727273,Positive,738988,2024-04-12
2024-05-09,user_6,Hotstar has the best collection of shows.,hotstar best collection show,1.0,0.3,Positive,739015,2024-05-09
2024-05-24,user_7,"Too many ads on Netflix, please fix.",many ad netflix please fix,0.5,0.5,Positive,739030,2024-05-24
2024-05-11,user_8,Loved the new series on SonyLIV!,loved new series sonyliv,0.41818181818181815,0.6272727272727273,Positive,739017,2024-05-11
2024-07-29,user_9,I might unsubscribe from Prime Video soon.,might unsubscribe prime video soon,0.0,0.0,Neutral,739096,2024-07-29
2024-01-06,user_10,Prime Video has the best collection of shows.,prime video best collection show,1.0,0.3,Positive,738891,2024-01-06
2024-03-30,user_11,The streaming on Netflix is so smooth!,streaming netflix smooth,0.4,0.5,Positive,738975,2024-03-30
2024-10-02,user_12,The streaming on Netflix is so smooth!,streaming netflix smooth,0.4,0.5,Positive,739161,2024-10-02
2024-03-14,user_13,Netflix app keeps crashing lately.,netflix app keep crashing lately,-0.3,0.6,Negative,738959,2024-03-14
2024-09-18,user_14,The streaming on Prime Video is so smooth!,streaming prime video smooth,0.4,0.5,Positive,739147,2024-09-18
2024-03-20,user_15,Buffering issues on Netflix all the time.,buffering issue netflix time,0.0,0.0,Neutral,738965,2024-03-20
2024-06-03,user_16,SonyLIV subscription cost is too high!,sonyliv subscription cost high,0.16,0.54,Positive,739040,2024-06-03
2024-07-11,user_17,Prime Video has the best collection of shows.,prime video best collection show,1.0,0.3,Positive,739078,2024-07-11
2024-04-24,user_18,SonyLIV has the best collection of shows.,sonyliv best collection show,1.0,0.3,Positive,739000,2024-04-24
2024-02-20,user_19,Prime Video subscription cost is too high!,prime video subscription cost high,0.16,0.54,Positive,738936,2024-02-20
2024-02-23,user_20,Buffering issues on Hotstar all the time.,buffering issue hotstar time,0.0,0.0,Neutral,738939,2024-02-23
2024-01-25,user_21,Hotstar app keeps crashing lately.,hotstar app keep crashing lately,-0.3,0.6,Negative,738910,2024-01-25
2024-06-29,user_22,I might unsubscribe from Netflix soon.,might unsubscribe netflix soon,0.0,0.0,Neutral,739066,2024-06-29
2024-09-05,user_23,"Too many ads on SonyLIV, please fix.",many ad sonyliv please fix,0.5,0.5,Positive,739134,2024-09-05
2024-05-12,user_24,The streaming on Prime Video is so smooth!,streaming prime video smooth,0.4,0.5,Positive,739018,2024-05-12
2024-07-17,user_25,Loved the new series on Netflix!,loved new series netflix,0.41818181818181815,0.6272727272727273,Positive,739084,2024-07-17
2024-09-16,user_26,"Too many ads on Prime Video, please fix.",many ad prime video please fix,0.5,0.5,Positive,739145,2024-09-16
2024-07-30,user_27,Hotstar app keeps crashing lately.,hotstar app keep crashing lately,-0.3,0.6,Negative,739097,2024-07-30
2024-01-09,user_28,SonyLIV has the best collection of shows.,sonyliv best collection show,1.0,0.3,Positive,738894,2024-01-09
2024-05-07,user_29,Hotstar has the best collection of shows.,hotstar best collection show,1.0,0.3,Positive,739013,2024-05-07
2024-07-21,user_30,Loved the new series on Prime Video!,loved new series prime video,0.41818181818181815,0.6272727272727273,Positive,739088,2024-07-21
2024-02-29,user_31,Hotstar subscription cost is too high!,hotstar subscription cost high,0.16,0.54,Positive,738945,2024-02-29
2024-09-12,user_32,SonyLIV subscription cost is too high!,sonyliv subscription cost high,0.16,0.54,Positive,739141,2024-09-12
2024-09-06,user_33,The streaming on Prime Video is so smooth!,streaming prime video smooth,0.4,0.5,Positive,739135,2024-09-06
